file_path,brightness_score,image_width,image_height,resolution_ratio,entropy_score,person_area_ratio,food_area_ratio,text_area_ratio,num_text_boxes,scene_max,scene_topk_avg,object_max,object_topk_avg,gap_max,gap_avg,file_name
data\images_raw\젤마씨_2.jpg,136.47212843569733,560.0,421.0,1.4033333333333333,7.654749870300293,0.05089921954530031,0.0,0.0,0.0,0.25759854912757874,0.2409319132566452,0.16422274708747864,0.16067655384540558,0.0933758020401001,0.08025535941123962,젤마씨_2
data\images_raw\젤마씨_3.jpg,130.09796666666668,560.0,375.0,1.25,7.634284019470215,0.005571428571428572,0.0,0.004642857142857143,1.0,0.2537060081958771,0.24939268827438354,0.20761236548423767,0.19359737634658813,0.046093642711639404,0.05579531192779541,젤마씨_3
data\images_raw\젤마씨_4.jpg,144.2074149659864,560.0,315.0,1.05,7.332389831542969,0.0,0.0,0.0019047619047619048,1.0,0.29375115036964417,0.264672189950943,0.22492913901805878,0.20829157531261444,0.06882201135158539,0.05638061463832855,젤마씨_4
data\images_raw\젤마씨_5.jpg,128.28424426020408,560.0,560.0,1.8666666666666667,7.7104363441467285,0.0,0.0,0.006087372448979592,1.0,0.21444226801395416,0.1940559595823288,0.21888740360736847,0.21042771637439728,-0.004445135593414307,-0.01637175679206848,젤마씨_5
data\images_raw\젤마씨_6.jpg,169.64038774144197,560.0,747.0,1.8666666666666667,7.472710132598877,0.0,0.0,0.0,0.0,0.25692370533943176,0.2284940630197525,0.19357429444789886,0.18454556167125702,0.0633494108915329,0.04394850134849548,젤마씨_6
data\images_raw\젤코바베이커리카페_1.jpg,77.36787414965987,560.0,315.0,1.05,7.277263641357422,0.0,0.0,0.0,0.0,0.22500532865524292,0.21532325446605682,0.19385972619056702,0.17850369215011597,0.031145602464675903,0.03681956231594086,젤코바베이커리카페_1
data\images_raw\젤코바베이커리카페_2.jpg,64.9651678141136,560.0,747.0,1.8666666666666667,7.045085906982422,0.006748422260470453,0.0,0.0,0.0,0.2897016108036041,0.2648237943649292,0.22417055070400238,0.21090877056121826,0.06553106009960175,0.05391502380371094,젤코바베이커리카페_2
data\images_raw\젤코바베이커리카페_3.jpg,113.99309619430102,560.0,747.0,1.8666666666666667,7.668955326080322,0.0,0.020646873207114173,0.01013578122011857,3.0,0.2434709370136261,0.22650103271007538,0.1839451938867569,0.17844349145889282,0.0595257431268692,0.048057541251182556,젤코바베이커리카페_3
data\images_raw\젤코바베이커리카페_4.jpg,126.73685941043084,560.0,315.0,1.05,7.242921352386475,0.0,0.0,0.15660997732426304,15.0,0.23038509488105774,0.20360885560512543,0.2158224880695343,0.20330655574798584,0.014562606811523438,0.0003022998571395874,젤코바베이커리카페_4
data\images_raw\젤코바베이커리카페_5.jpg,121.50504058441558,560.0,880.0,1.8666666666666667,7.875988006591797,0.0,0.0,0.07801339285714286,20.0,0.24228118360042572,0.2160271406173706,0.2232004553079605,0.20461958646774292,0.01908072829246521,0.011407554149627686,젤코바베이커리카페_5
data\images_raw\젤코바베이커리카페_6.jpg,120.66338209982788,560.0,747.0,1.8666666666666667,7.570745468139648,0.0,0.0,0.10370051635111877,1.0,0.28106850385665894,0.2600692808628082,0.22360534965991974,0.20735518634319305,0.0574631541967392,0.05271409451961517,젤코바베이커리카페_6
data\images_raw\젬마초콜릿과자점_1.jpg,122.9161528150134,560.0,373.0,1.2433333333333334,7.073476791381836,0.0,0.0,0.0,0.0,0.22939704358577728,0.2113797515630722,0.19594043493270874,0.1857762485742569,0.03345660865306854,0.025603502988815308,젬마초콜릿과자점_1
data\images_raw\젬마초콜릿과자점_2.jpg,104.05282206632653,560.0,560.0,1.8666666666666667,7.632650375366211,0.0,0.0,0.0024330357142857144,1.0,0.2381563037633896,0.21830081939697266,0.20699496567249298,0.18679825961589813,0.031161338090896606,0.031502559781074524,젬마초콜릿과자점_2
data\images_raw\젬마초콜릿과자점_3.jpg,168.7223764841057,560.0,373.0,1.2433333333333334,7.460071086883545,0.0,0.0,0.0,0.0,0.2239425778388977,0.20110394060611725,0.17440472543239594,0.16502659022808075,0.04953785240650177,0.0360773503780365,젬마초콜릿과자점_3
data\images_raw\젬마초콜릿과자점_4.jpg,95.6261411382735,560.0,374.0,1.2466666666666666,7.360599040985107,0.0,0.0,0.09067990832696715,3.0,0.20584870874881744,0.20329336822032928,0.221469908952713,0.20236599445343018,-0.015621200203895569,0.0009273737668991089,젬마초콜릿과자점_4
data\images_raw\젬마초콜릿과자점_5.jpg,87.7571763692072,560.0,373.0,1.2433333333333334,7.443595886230469,0.0,0.0,0.12301560704710839,4.0,0.21416498720645905,0.20757699012756348,0.21779559552669525,0.21249909698963165,-0.003630608320236206,-0.004922106862068176,젬마초콜릿과자점_5
data\images_raw\젬마초콜릿과자점_6.jpg,151.64163903061225,560.0,560.0,1.8666666666666667,7.604222297668457,0.0,0.0,0.020892857142857144,1.0,0.21954543888568878,0.20144236087799072,0.1844722181558609,0.17893214523792267,0.03507322072982788,0.022510215640068054,젬마초콜릿과자점_6
data\images_raw\조남매구움과자_1.jpg,194.07358770585984,560.0,373.0,1.2433333333333334,7.554810523986816,0.0,0.0,0.012224722328609728,2.0,0.23445919156074524,0.21658475697040558,0.17831392586231232,0.1744224578142166,0.05614526569843292,0.042162299156188965,조남매구움과자_1
data\images_raw\조남매구움과자_2.jpg,129.27053212851405,560.0,747.0,1.8666666666666667,7.468818664550781,0.0,0.0,0.0,0.0,0.21816769242286682,0.21126650273799896,0.17412129044532776,0.16911529004573822,0.04404640197753906,0.04215121269226074,조남매구움과자_2
data\images_raw\조남매구움과자_3.jpg,146.2877653471027,560.0,747.0,1.8666666666666667,7.620755672454834,0.0,0.0,0.0,0.0,0.24715997278690338,0.24044986069202423,0.19865550100803375,0.19291426241397858,0.04850447177886963,0.047535598278045654,조남매구움과자_3
data\images_raw\조남매구움과자_4.jpg,159.94343163538875,560.0,373.0,1.2433333333333334,7.486442565917969,0.0,0.0,0.053710264266564535,2.0,0.23442354798316956,0.22614850103855133,0.19560836255550385,0.18803077936172485,0.03881518542766571,0.03811772167682648,조남매구움과자_4
